id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B0G0RUDTX7,汇嘉大厦地下停车场,交通设施服务;停车场;公共停车场,150904,漕溪北路41号汇嘉大厦(徐家汇地铁站9号口步行170米),121.439791,31.192231,,[],[],交通设施,上海市,上海市,徐汇区
B0HGS549M1,武康庭地下停车场,交通设施服务;停车场;公共停车场,150904,泰安路与武康路交叉口西北40米,121.438963,31.206588,,[],[],交通设施,上海市,上海市,徐汇区
B0KU4MZHGP,上海体育场地下停车场(暂停营业),交通设施服务;停车场;公共停车场,150904,徐家汇街道天钥桥路666号上海体育场,121.439048,31.182353,,[],[],交通设施,上海市,上海市,徐汇区
B0FFGL1CTO,上海文化广场地下停车场(入口),交通设施服务;停车场;停车场入口,150907,陕西南路221号,121.461470,31.212138,,[],[],交通设施,上海市,上海市,黄浦区
B0IGU92TTH,宛平剧院地下停车场(出入口),交通设施服务;停车场;停车场出入口,150909,宛平剧院地下停车场,121.451354,31.184545,,[],[],交通设施,上海市,上海市,徐汇区
B0G0X70KSF,嘉汇广场地下停车场,交通设施服务;停车场;公共停车场,150904,斜土路2601-2611号嘉汇广场,121.442807,31.188050,,[],[],交通设施,上海市,上海市,徐汇区
B0H2G7UTH1,柳州路-道路停车位,交通设施服务;停车场;路边停车场,150906,纬一路与经三路交叉口东160米,121.421079,31.184572,,[],[],交通设施,上海市,上海市,徐汇区
B0IG7SPD7F,锦和巴黎时韵地面停车场,交通设施服务;停车场;公共停车场,150904,襄阳南路500号锦和巴黎时韵,121.457931,31.205996,,[],[],交通设施,上海市,上海市,徐汇区
B0H2BDJOMQ,上海徐家汇A.T.House停车场,交通设施服务;停车场;公共停车场,150904,南丹路15号上海徐家汇ATHOUSE酒店,121.435360,31.189296,,[],[],交通设施,上海市,上海市,徐汇区
B0HGS74LV2,凯阳大厦停车场,交通设施服务;停车场;公共停车场,150904,定西路788号凯阳大厦,121.424235,31.208820,,[],[],交通设施,上海市,上海市,长宁区
B0HGUUEVIO,欧登大厦地下停车场,交通设施服务;停车场;公共停车场,150904,永嘉路与安亭路交叉口西北160米,121.446730,31.205415,,[],[],交通设施,上海市,上海市,徐汇区
B0G13C2ILC,华山花苑停车场,交通设施服务;停车场;专用停车场,150905,华山路1615-1635号、淮海中路2006弄6-16号华山花苑,121.435215,31.203369,,[],[],交通设施,上海市,上海市,长宁区
B0H1278PBU,明珠大饭店停车场,交通设施服务;停车场;公共停车场,150904,陕西南路228-2号(嘉善路地铁站2号口步行250米),121.462646,31.203794,,[],[],交通设施,上海市,上海市,黄浦区
B0FFH9VU8W,东方明珠凯旋中心地面停车场,交通设施服务;停车场;公共停车场,150904,凯旋路1522号(虹桥路地铁站1号口步行170米),121.421648,31.197770,,[],[],交通设施,上海市,上海市,长宁区
B0HAJC6ZWG,枫林国际中心Ⅰ地下停车场,交通设施服务;停车场;公共停车场,150904,枫林路388号枫林国际中心Ⅰ,121.458200,31.190862,,[],[],交通设施,上海市,上海市,徐汇区
B0H0BC1EII,恒悦轩精致香港粤菜徐家汇店停车场,交通设施服务;停车场;公共停车场,150904,恒悦轩精致香港粤菜(徐家汇店),121.443986,31.197570,,[],[],交通设施,上海市,上海市,徐汇区
